"","sale_head","price","price_sqm","created","floor_size","level_condo","num_bed","num_bath","condo_name","zone","near_lo_type1","near_lo_name1","near_lo_dist1","near_lo_type2","near_lo_name2","near_lo_dist2","near_lo_type3","near_lo_name3","near_lo_dist3","near_lo_type4","near_lo_name4","near_lo_dist4","near_lo_type5","near_lo_name5","near_lo_dist5","near_lo_type6","near_lo_name6","near_lo_dist6","owner","longitude","latitude","list_link"
"11","𝐗𝐓 𝗛𝘂𝗮𝗶𝗞𝗵𝘄𝗮𝗻𝗴 | 𝟏Bed 𝟑𝟎Sq.m |💥 𝐒𝐇𝐎𝐂𝐊 𝐏𝐑𝐈𝐂𝐄 ✔️The Best Price Guarantee 💯📱𝟬𝟲𝟮-𝟰𝟮𝟰𝟱𝟰𝟳𝟰","฿3,390,000","(113,000 B./Sq.m.)","Created 2022-10-03 01:01","30 Sq.m.","Level 11-20","1 Bedrooms","1 Bedrooms","Condo XT Huaikhwang","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","0.2 Km.","living_mall","The Street Ratchada","1.1 Km.","living_mall","Big C Extra Ratchadapisek","1.3 Km.","living_academy","University of the Thai Chamber of Commerce","1.5 Km.","living_transit","MRT Thailand Cultural Center","1.6 Km.","living_mall","FortuneTown","2.6 Km.","maimiko",100.5755896,13.7803364,"https://www.livinginsider.com/livingdetail_en/1307270/%F0%9D%90%97%F0%9D%90%93-%F0%9D%97%9B%F0%9D%98%82%F0%9D%97%AE%F0%9D%97%B6%F0%9D%97%9E%F0%9D%97%B5%F0%9D%98%84%F0%9D%97%AE%F0%9D%97%BB%F0%9D%97%B4-%F0%9D%9F%8FBed-%F0%9D%9F%91%F0%9D%9F%8ESq-m-%F0%9D%90%92%F0%9D%90%87%F0%9D%90%8E%F0%9D%90%82%F0%9D%90%8A-%F0%9D%90%8F%F0%9D%90%91%F0%9D%90%88%F0%9D%90%82%F0%9D%90%84-%EF%B8%8FThe-Best-Price-Guarantee-%F0%9D%9F%AC%F0%9D%9F%B2%F0%9D%9F%AE-%F0%9D%9F%B0%F0%9D%9F%AE%F0%9D%9F%B0%F0%9D%9F%B1%F0%9D%9F%B0%F0%9D%9F%B3%F0%9D%9F%B0.html"
"12","💥HOT💥 Ratchada Zone","฿1,550,000","(52,757 B./Sq.m.)","Created 2022-10-24 15:17","29.38 Sq.m.","Level 4","1 Bedrooms","1 Bedrooms","Condo Ratchada City 18","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","1.4 Km.","living_mall","The Street Ratchada","2.0 Km.","living_mall","Big C Extra Ratchadapisek","2.2 Km.","living_hospital","Paolohospital chokchai4","2.4 Km.","living_academy","University of the Thai Chamber of Commerce","2.7 Km.","living_mall","Big C Supercenter Latphrao","2.9 Km.","pichaporn-luengrungt...",100.5851821,13.7835207,"https://www.livinginsider.com/livingdetail_en/1342277/HOT-Ratchada-Zone.html"
"13","𝐗𝐓 𝗛𝘂𝗮𝗶𝗞𝗵𝘄𝗮𝗻𝗴 | 1Bed 35Sq.m |💥 𝐒𝐇𝐎𝐂𝐊 𝐏𝐑𝐈𝐂𝐄 ✔️The Best Price Guarantee 💯📱𝟬𝟲𝟮-𝟰𝟮𝟰𝟱𝟰𝟳𝟰","฿3,890,000","(111,143 B./Sq.m.)","Created 2022-10-03 02:15","35 Sq.m.","Level 5-10","1 Bedrooms","1 Bedrooms","Condo XT Huaikhwang","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","0.2 Km.","living_mall","The Street Ratchada","1.1 Km.","living_mall","Big C Extra Ratchadapisek","1.3 Km.","living_academy","University of the Thai Chamber of Commerce","1.5 Km.","living_transit","MRT Thailand Cultural Center","1.6 Km.","living_mall","FortuneTown","2.6 Km.","maimiko",100.5755896,13.7803364,"https://www.livinginsider.com/livingdetail_en/1307308/%F0%9D%90%97%F0%9D%90%93-%F0%9D%97%9B%F0%9D%98%82%F0%9D%97%AE%F0%9D%97%B6%F0%9D%97%9E%F0%9D%97%B5%F0%9D%98%84%F0%9D%97%AE%F0%9D%97%BB%F0%9D%97%B4-1Bed-35Sq-m-%F0%9D%90%92%F0%9D%90%87%F0%9D%90%8E%F0%9D%90%82%F0%9D%90%8A-%F0%9D%90%8F%F0%9D%90%91%F0%9D%90%88%F0%9D%90%82%F0%9D%90%84-%EF%B8%8FThe-Best-Price-Guarantee-%F0%9D%9F%AC%F0%9D%9F%B2%F0%9D%9F%AE-%F0%9D%9F%B0%F0%9D%9F%AE%F0%9D%9F%B0%F0%9D%9F%B1%F0%9D%9F%B0%F0%9D%9F%B3%F0%9D%9F%B0.html"
"14","250 meters from MRT Ratchada, walking distance, price per square meter of only 8X,XXX to 9X,XXX, ready to move, and the last 10 units.","฿3,809,500","(87,054 B./Sq.m.)","Created 2022-11-21 09:28","43.76 Sq.m.","Level 5-10","1 Bedrooms","1 Bedrooms","D Condo Ratchada 19","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Ratchadaphisek","0.1 Km.","living_transit","MRT Lad Phrao","0.7 Km.","living_academy","St. John's University","1.8 Km.","living_mall","Union Mall","1.9 Km.","living_academy","Chandrakasem Rajabhat University","2.2 Km.","living_academy","Civil Aviation Training Center","2.2 Km.","LivableHome (Sales)",100.5735881,13.8005559,"https://www.livinginsider.com/livingdetail_en/1381309/250-meters-from-MRT-Ratchada-walking-distance-price-per-square-meter-of-only-8XXXX-to-9XXXX-rea.html"
"15","Shock Price, brutal deal!! 🔥 XT Huai Khwang 🔥 1 large bedroom, 35 sq m!! Price 3.9 million baht!! (Only 111,xxx.-!!) sq.m. each with furniture, appliances, ready to move in 🔥 Brand new from Sansiri. On Ratchadaphisek Road, Huai Khwang Intersection, next t","฿3,900,000","(111,111 B./Sq.m.)","Created 2021-08-17 13:31","35.10 Sq.m.","Level 5-10","1 Bedrooms","1 Bedrooms","Condo XT Huaikhwang","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","0.2 Km.","living_mall","The Street Ratchada","1.1 Km.","living_mall","Big C Extra Ratchadapisek","1.3 Km.","living_academy","University of the Thai Chamber of Commerce","1.5 Km.","living_transit","MRT Thailand Cultural Center","1.6 Km.","living_mall","FortuneTown","2.6 Km.","Natchanan_v1",100.5755896,13.7803364,"https://www.livinginsider.com/livingdetail_en/856458/Shock-Price-brutal-deal-XT-Huai-Khwang-1-large-bedroom-35-sq-m-Price-3-9-million-baht-O.html"
"16","Urgent sale, Baan Klang Krung Resort condo, very good price, large room, area size 51.72 sq m., Ratchada Soi 7, good location, easy to travel in and out, easy to find food, this location is suitable for buying for rent or living by yourself.","฿2,800,000","(54,138 B./Sq.m.)","Created 2021-12-29 00:27","51.72 Sq.m.","Level 1-4","1 Bedrooms","1 Bedrooms","Condo Baan Klangkrung Resort","Ratchadapisek, Huaikwang, Suttisan","living_mall","The Street Ratchada","0.5 Km.","living_transit","MRT Huai Khwang","0.6 Km.","living_mall","Big C Extra Ratchadapisek","0.7 Km.","living_transit","MRT Thailand Cultural Center","0.9 Km.","living_academy","University of the Thai Chamber of Commerce","1.2 Km.","living_mall","FortuneTown","1.8 Km.","Suthasinee Awarter",100.5696453,13.7750101,"https://www.livinginsider.com/livingdetail_en/978671/Urgent-sale-Baan-Klang-Krung-Resort-condo-very-good-price-large-room-area-size-51-72-sq-m-Ratc.html"
"17","Emerald Residence Ratchada (Emerald Residence Ratchada) for sale / second hand.","฿3,890,000","(92,158 B./Sq.m.)","Created 2021-03-13 17:15","42.21 Sq.m.","Level 5-10","1 Bedrooms","1 Bedrooms","Condo Emerald Residence Ratchada","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","0.5 Km.","living_mall","The Street Ratchada","0.5 Km.","living_mall","Big C Extra Ratchadapisek","0.7 Km.","living_transit","MRT Thailand Cultural Center","1.0 Km.","living_academy","University of the Thai Chamber of Commerce","1.3 Km.","living_mall","FortuneTown","1.9 Km.","phat.extra",100.5716087,13.7751564,"https://www.livinginsider.com/livingdetail_en/709314/Emerald-Residence-Ratchada-Emerald-Residence-Ratchada-for-sale-second-hand.html"
"18","PBC13 Condo for sale Rhythm Ratchada","฿8,000,000","(103,896 B./Sq.m.)","Created 2022-10-17 16:29","77 Sq.m.","Level 31","2 Bedrooms","2 Bedrooms","Condo Rhythm Ratchada","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Ratchadaphisek","0.1 Km.","living_transit","MRT Lad Phrao","0.9 Km.","living_transit","MRT Sutthisan","1.0 Km.","living_academy","St. John's University","2.1 Km.","living_transit","MRT Huai Khwang","2.2 Km.","living_mall","Union Mall","2.2 Km.","Jangproperty8",100.5757355,13.7984854,"https://www.livinginsider.com/livingdetail_en/1329453/PBC13-Condo-for-sale-Rhythm-Ratchada.html"
"19","Urgent. XT Huai Khwang, 2 bedrooms, 2 bathrooms, 54.xsq.m., only 6.39mb., very good price with full promotion, call 0957615782","฿6,390,000","(118,115 B./Sq.m.)","Created 2022-04-10 13:14","54.10 Sq.m.","Level 11-20","2 Bedrooms","2 Bedrooms","Condo XT Huaikhwang","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","0.2 Km.","living_mall","The Street Ratchada","1.1 Km.","living_mall","Big C Extra Ratchadapisek","1.3 Km.","living_academy","University of the Thai Chamber of Commerce","1.5 Km.","living_transit","MRT Thailand Cultural Center","1.6 Km.","living_mall","FortuneTown","2.6 Km.","Teddytat",100.5755896,13.7803364,"https://www.livinginsider.com/livingdetail_en/1084271/Urgent-XT-Huai-Khwang-2-bedrooms-2-bathrooms-54-xsq-m-only-6-39mb-very-good-price-with-full.html"
"20","FB00588 Condo for sale Grene Suthisarn","฿2,100,000","(56,757 B./Sq.m.)","Created 2022-08-16 15:33","37 Sq.m.","Level 5-10","1 Bedrooms","1 Bedrooms","Condo Grene Suthisarn","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Sutthisan","1.2 Km.","living_hospital","Paolohospital chokchai4","1.9 Km.","living_mall","The Street Ratchada","2.5 Km.","living_mall","Big C Extra Ratchadapisek","2.7 Km.","living_academy","University of the Thai Chamber of Commerce","2.9 Km.","living_mall","Big C Supercenter Latphrao","2.9 Km.","Jangproperty8",100.5852148,13.7892417,"https://www.livinginsider.com/livingdetail_en/1234764/FB00588-Condo-for-sale-Grene-Suthisarn.html"
"21","Very beautiful room, ready to move in, fully furnished, separate kitchen, Chateau in Town Ratchada 13","฿1,790,000","(48,378 B./Sq.m.)","Created 2022-11-26 13:10","37 Sq.m.","Level 5-10","Studio room","Studio room","Condo Chateau in town Ratchada 13","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","0.5 Km.","living_transit","MRT Sutthisan","0.9 Km.","living_academy","University of the Thai Chamber of Commerce","1.2 Km.","living_mall","The Street Ratchada","1.4 Km.","living_mall","Big C Extra Ratchadapisek","1.5 Km.","living_hospital","Paolo Memorial Nawamin Hospital","2.5 Km.","bangkokhub",100.570938,13.7824173,"https://www.livinginsider.com/livingdetail_en/1388632/Very-beautiful-room-ready-to-move-in-fully-furnished-separate-kitchen-Chateau-in-Town-Ratchada-1.html"
"22","🎊 Sale 🎊 Condo Chateau Ratchada 19 Add : a_sungha100","฿2,800,000","(85,784 B./Sq.m.)","Created 2 hours","32.64 Sq.m.","Level 5-10","1 Bedrooms","1 Bedrooms","Condo Chateau In Town Ratchadapisek 19","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Ratchadaphisek","0.1 Km.","living_transit","MRT Lad Phrao","0.8 Km.","living_academy","St. John's University","1.9 Km.","living_mall","Union Mall","2.0 Km.","living_academy","Chandrakasem Rajabhat University","2.2 Km.","living_academy","Civil Aviation Training Center","2.2 Km.","B_asungha",100.5489055,13.8305692,"https://www.livinginsider.com/livingdetail_en/1394130/-Sale-Condo-Chateau-Ratchada-19-Add-a_sungha100.html"
"23","XT HuaiKhwang🔥📱𝟬𝟲𝟮-𝟰𝟮𝟰𝟱𝟰𝟳𝟰","฿3,990,000","(114,000 B./Sq.m.)","Created 2022-11-12 00:46","35 Sq.m.","Level 11-20","1 Bedrooms","1 Bedrooms","Condo XT Huaikhwang","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","0.2 Km.","living_mall","The Street Ratchada","1.1 Km.","living_mall","Big C Extra Ratchadapisek","1.3 Km.","living_academy","University of the Thai Chamber of Commerce","1.5 Km.","living_transit","MRT Thailand Cultural Center","1.6 Km.","living_mall","FortuneTown","2.6 Km.","maimiko",100.5755896,13.7803364,"https://www.livinginsider.com/livingdetail_en/1369546/XT-HuaiKhwang.html"
"24","Condo for sale!!! Life @Ratchada-Sutthisan, near MRT Huai Khwang, only 430 m., special suite, size 60 sq.m., built-in decoration, ready to move in, east side, city view #price is lower than market price #special size room","฿4,800,000","(80,000 B./Sq.m.)","Created 2022-11-03 07:26","60 Sq.m.","Level 11-20","2 Bedrooms","2 Bedrooms","Condo Life @ Ratchada - Sutthisan","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Sutthisan","0.1 Km.","living_transit","MRT Ratchadaphisek","0.9 Km.","living_academy","University of the Thai Chamber of Commerce","2.0 Km.","living_mall","The Street Ratchada","2.3 Km.","living_mall","Big C Extra Ratchadapisek","2.5 Km.","living_academy","Civil Aviation Training Center","2.6 Km.","Kittipong Panit1",100.5746579,13.7909369,"https://www.livinginsider.com/livingdetail_en/1356306/Condo-for-sale-Life-Ratchada-Sutthisan-near-MRT-Huai-Khwang-only-430-m-special-suite-size-6.html"
"25","Aspire asoke ratchada, BKK","฿2,890,000","(95,348 B./Sq.m.)","Created 2022-10-15 19:28","30.31 Sq.m.","Level 5-10","1 Bedrooms","1 Bedrooms","Condo Aspire Asoke - Ratchada","Ratchadapisek, Huaikwang, Suttisan","living_mall","CentralPlaza Grand Rama 9","0.8 Km.","living_mall","FortuneTown","0.8 Km.","living_transit","MRT Phra Ram 9","0.9 Km.","living_mall","Big C Extra Ratchadapisek","1.2 Km.","living_mall","The Street Ratchada","1.4 Km.","living_hospital","Rama 9 Hospital","1.6 Km.","Mix Vichaitanapat",100.5608964,13.7642489,"https://www.livinginsider.com/livingdetail_en/1327088/Aspire-asoke-ratchada-BKK.html"
"26","cozy condo one step to MRT suthisan","฿4,800,000","(80,000 B./Sq.m.)","Created 2022-09-14 13:49","60 Sq.m.","Level 14","1 Bedrooms","1 Bedrooms","Condo Life @ Ratchada - Sutthisan","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Sutthisan","0.1 Km.","living_transit","MRT Ratchadaphisek","0.9 Km.","living_academy","University of the Thai Chamber of Commerce","2.0 Km.","living_mall","The Street Ratchada","2.3 Km.","living_mall","Big C Extra Ratchadapisek","2.5 Km.","living_academy","Civil Aviation Training Center","2.6 Km.","jirawatlersin",100.5746579,13.7909369,"https://www.livinginsider.com/livingdetail_en/1277502/cozy-condo-one-step-to-MRT-suthisan.html"
"27","The Prive Ratchadaphisek 19, the cheapest price in the market.","฿1,750,000","(69,034 B./Sq.m.)","Created 2022-10-25 12:34","25.35 Sq.m.","Level 5","1 Bedrooms","1 Bedrooms","Condo The Prive Ratchada 19","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Lad Phrao","0.3 Km.","living_transit","MRT Ratchadaphisek","0.8 Km.","living_academy","St. John's University","1.3 Km.","living_mall","Union Mall","1.3 Km.","living_mall","Tesco Lotus Ladprao","1.6 Km.","living_academy","Chandrakasem Rajabhat University","1.6 Km.","PinKanyanach",100.5735881,13.8005559,"https://www.livinginsider.com/livingdetail_en/1343399/The-Prive-Ratchadaphisek-19-the-cheapest-price-in-the-market-.html"
